,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Sampit,93,ID,1569978106,86,-2.54,112.95,25.56,1.49
1,Nizhneudinsk,0,RU,1569978106,84,54.91,99.03,-1.54,0.67
2,Rikitea,72,PF,1569978044,84,-23.12,-134.97,20.37,7.8
3,Nome,1,US,1569978106,74,30.04,-94.42,28.33,1.5
4,Yerbogachen,80,RU,1569978106,80,61.28,108.01,-2.19,3.25
5,Ushuaia,40,AR,1569978107,89,-54.81,-68.31,4.0,11.3
6,Esperance,75,AU,1569978107,82,-33.86,121.89,16.0,3.6
7,Puerto Ayora,20,EC,1569978107,73,-0.74,-90.35,22.0,8.7
8,Fortuna,1,US,1569978107,71,40.6,-124.16,15.56,4.6
9,Zeya,96,RU,1569978108,67,53.74,127.27,0.53,4.6
10,Cortez,1,US,1569978108,16,37.35,-108.58,23.0,7.7
11,Ribeira Grande,75,PT,1569978108,83,38.52,-28.7,23.0,14.9
12,Erzin,0,TR,1569978108,88,36.95,36.2,23.89,0.41
13,Narkanda,0,IN,1569978108,83,31.25,77.46,9.81,0.926
14,Timbuktu,64,ML,1569978109,26,16.77,-3.01,34.59,5.44
15,Tuktoyaktuk,75,CA,1569978109,86,69.44,-133.03,5.0,2.1
16,Vestmanna,59,FO,1569978109,81,62.16,-7.17,7.0,10.8
17,Bredasdorp,100,ZA,1569978110,87,-34.53,20.04,14.44,1.5
18,Mataura,92,NZ,1569978110,63,-46.19,168.86,9.44,8.49
19,Saskylakh,95,RU,1569978110,95,71.97,114.09,-3.91,4.72
20,Fort Nelson,75,CA,1569978110,51,58.81,-122.69,17.0,2.6
21,Ilulissat,15,GL,1569978111,45,69.22,-51.1,7.0,7.7
22,Busselton,85,AU,1569978111,93,-33.64,115.35,12.22,0.45
23,Nikolskoye,20,RU,1569978111,93,59.7,30.79,6.67,3.0
24,Hilo,1,US,1569978111,62,19.71,-155.08,30.0,3.1
25,Ostrovnoy,87,RU,1569978111,77,68.05,39.51,2.16,11.41
26,Khatanga,2,RU,1569978112,88,71.98,102.47,-7.65,1.22
27,Puerto Leguizamo,46,CO,1569978112,66,-0.19,-74.78,26.35,1.73
28,Torbay,40,CA,1569977941,80,47.66,-52.73,6.11,3.6
29,Butaritari,98,KI,1569978112,67,3.07,172.79,29.57,4.78
30,Kruisfontein,12,ZA,1569978113,88,-34.0,24.73,11.47,3.29
31,Nabire,100,ID,1569978113,97,-3.36,135.5,21.54,1.31
32,Pisco,0,PE,1569977937,88,-13.71,-76.2,17.78,8.2
33,Ayorou,100,NE,1569978113,36,14.73,0.92,31.38,6.67
34,Dikson,4,RU,1569978113,86,73.51,80.55,-1.93,7.9
35,Lovington,90,US,1569978114,83,32.94,-103.35,24.0,5.1
36,Yellowknife,75,CA,1569978114,61,62.45,-114.38,8.0,3.6
37,Souillac,90,FR,1569978114,93,45.6,-0.6,16.11,1.0
38,Vao,42,EE,1569978114,83,59.1,26.19,6.89,5.85
39,Hambantota,75,LK,1569978115,100,6.12,81.12,24.0,2.1
40,Port Alfred,1,ZA,1569978115,89,-33.59,26.89,13.33,0.45
41,Kodiak,1,US,1569978115,74,39.95,-94.76,28.0,4.6
42,Galesong,20,ID,1569978115,66,-5.32,119.37,30.0,1.0
43,Xicotencatl,39,MX,1569978115,80,23.02,-98.88,28.33,3.58
44,Codrington,6,AU,1569978116,43,-28.95,153.24,22.22,1.5
45,Atuona,28,PF,1569978116,75,-9.8,-139.03,26.39,6.67
46,Norman Wells,90,CA,1569977572,81,65.28,-126.83,10.0,2.1
47,Nanortalik,100,GL,1569978116,57,60.14,-45.24,6.91,4.18
48,Tazovskiy,98,RU,1569978116,94,67.47,78.7,1.61,3.4
49,Upernavik,45,GL,1569978117,60,72.79,-56.15,2.43,4.05
50,Punta Arenas,20,CL,1569978000,80,-53.16,-70.91,4.0,6.2
51,Sarakhs,0,TM,1569978117,41,36.54,61.16,12.08,0.94
52,Mar del Plata,95,AR,1569977956,29,-46.43,-67.52,7.6,4.47
53,East London,49,ZA,1569978117,86,-33.02,27.91,11.59,3.22
54,Victoria,75,BN,1569977819,94,5.28,115.24,25.0,6.89
55,Chandbali,74,IN,1569978118,87,20.77,86.74,24.9,2.26
56,Santa Maria,0,BR,1569978118,47,-16.02,-48.01,26.0,3.6
57,Pevek,100,RU,1569978118,86,69.7,170.27,-0.27,11.05
58,Cape Town,0,ZA,1569978099,87,-33.93,18.42,15.56,1.0
59,Port Elizabeth,1,US,1569978119,83,39.31,-74.98,23.89,2.1
60,Jamestown,0,AU,1569978023,18,-33.21,138.6,26.84,7.49
61,Dunedin,87,NZ,1569977916,73,-45.87,170.5,8.33,11.18
62,Port Lincoln,0,AU,1569978119,89,-34.72,135.86,14.61,4.08
63,Chuy,100,UY,1569978119,97,-33.69,-53.46,17.22,2.17
64,Marsh Harbour,14,BS,1569978120,78,26.54,-77.06,27.23,9.4
65,Innisfail,61,AU,1569977961,51,-17.52,146.03,25.56,3.58
66,Awbari,0,LY,1569978120,23,26.59,12.77,25.25,6.19
67,Teahupoo,40,PF,1569978120,54,-17.83,-149.27,29.0,1.0
68,San Patricio,17,PY,1569978044,46,-26.98,-56.83,31.67,4.36
69,Rock Sound,21,BS,1569978121,79,24.9,-76.2,27.07,6.81
70,Tagusao,70,PH,1569978121,75,9.19,117.81,27.57,1.42
71,Bathsheba,20,BB,1569978062,74,13.22,-59.52,28.0,4.6
72,Hobart,0,AU,1569977887,33,-42.88,147.33,18.33,5.1
73,Cherskiy,78,RU,1569978121,74,68.75,161.3,-2.77,4.39
74,Albany,75,US,1569978122,100,42.65,-73.75,23.33,3.1
75,Karratha,0,AU,1569978122,16,-20.74,116.85,31.3,5.06
76,Kapaa,40,US,1569977829,66,22.08,-159.32,31.0,7.7
77,Carnarvon,26,ZA,1569978122,29,-30.97,22.13,10.29,4.11
78,Beroroha,22,MG,1569978123,49,-21.68,45.17,23.87,1.35
79,Los Llanos de Aridane,5,ES,1569978123,88,28.66,-17.92,28.89,5.7
80,Templin,90,DE,1569978123,93,53.12,13.5,13.89,1.0
81,Saint George,0,GR,1569978124,88,39.45,22.34,18.0,2.1
82,Iqaluit,75,CA,1569978124,78,63.75,-68.52,2.0,1.0
83,Ponta do Sol,0,BR,1569978124,57,-20.63,-46.0,21.57,2.32
84,Rutul,33,RU,1569978124,77,41.53,47.42,15.0,3.1
85,Lake Havasu City,1,US,1569978125,9,34.47,-114.34,29.0,3.6
86,Zyryanka,64,RU,1569978125,57,65.73,150.89,-3.44,5.95
87,Kiruna,100,SE,1569978125,91,67.86,20.23,0.0,7.2
88,Hofn,0,IS,1569978126,67,64.25,-15.21,-5.58,2.28
89,Hermanus,100,ZA,1569978126,83,-34.42,19.24,15.0,3.58
90,Oranjemund,0,ZA,1569978126,78,-28.55,16.43,14.89,5.47
91,Bluff,30,AU,1569978046,60,-23.58,149.07,21.95,8.61
92,Marsaxlokk,20,MT,1569978126,83,35.84,14.54,21.67,2.1
93,Port Moresby,40,PG,1569978127,74,-9.47,147.16,28.0,2.6
94,Ngong,20,KE,1569978127,82,-1.37,36.65,15.0,2.1
95,New Norfolk,0,AU,1569978127,33,-42.78,147.06,18.89,5.1
96,Oum Hadjer,19,TD,1569978127,66,13.3,19.7,28.08,4.12
97,Aykino,100,RU,1569978128,92,62.22,49.99,11.01,5.24
98,Dharangaon,99,IN,1569978129,88,21.01,75.27,23.13,1.04
99,Lukhovka,89,RU,1569978129,97,54.15,45.26,10.09,3.14
100,Palmerston,40,AU,1569978129,58,-12.49,130.99,32.22,3.6
101,Avarua,33,CK,1569978013,64,-21.21,-159.78,24.0,6.7
102,Sawkta,75,SL,1569978130,83,8.63,-13.2,26.0,1.0
103,Jiuquan,6,CN,1569978130,32,39.73,98.49,9.76,1.35
104,Bilibino,100,RU,1569978130,92,68.06,166.44,-8.75,1.59
105,Cidreira,59,BR,1569978131,72,-30.17,-50.22,21.78,5.5
106,Barrow,94,AR,1569978131,75,-38.31,-60.23,6.33,1.77
107,Dakar,17,SN,1569978131,94,14.69,-17.45,28.0,3.6
108,Tiksi,100,RU,1569978132,91,71.64,128.87,-1.67,9.6
109,Jinchang,48,CN,1569978132,41,38.52,102.19,14.28,0.49
110,Yuksekova,0,TR,1569978132,57,37.57,44.29,9.0,2.1
111,Klimovo,82,RU,1569978132,79,52.38,32.2,9.29,5.61
112,Sola,52,TZ,1569978133,71,-3.17,33.8,21.21,0.21
113,Touros,20,BR,1569978133,78,-5.2,-35.46,24.0,4.1
114,Shizukuishi,40,JP,1569978133,88,39.7,140.98,18.0,1.5
115,Arraial do Cabo,1,BR,1569978133,80,-22.97,-42.02,20.18,10.36
